Lokalisering	Avtalenavn	Elements	Tilstandsgrad	Startdato	Sluttdato	Utleier	Utleier kategori	Hjemmelshaver	Status	Poststed	Adresselinje 1	Lok: Distrikt	Lok: Område	Type lokasjon	Areal	Antall godkjente plasser	Målgruppe	Adresse og Postnummer	kommunenavn	Fylke	Matrikkel Gnr	Matrikkel Bnr	Matrikkel Knr	org nr utleier	Areal inkl fellesareal i leiekontrakt (kvm)	Eksklusivt areal i leiekontrakt (kvm)	Tillegsareal iht addendum (kvm)	Reduksjon iht addendum (kvm)	tomteareal	leieregulering	Forlengelse og vilkår	p-plasser	Kontraktsleie ved oppstart (per år)	Kontraktsleie økning/reduksjon	Felleskostnader per år (ved kontraktsinngåelse)	Brukeravhengige driftskostander - Første driftsår	Kostnad til indre vedlikehold per år	Indre vedlikehold pr/kvm	Kostnader: kommunale gebyrer og renovasjon	Kostnad kortleser	Parkeringsleie kr per år	Merverdikompensasjon per år	Vaktmestertjenester kr per år	Energi til leieobjektet kr per år	Oppvarming pr år	Renhold pr år	Kontantinnskudd kr	Betaling administrativt arbeid Statsbygg	kommentar
2410 - Familievern-kontoret i Kristiansund	Familievern-kontoret i Kristiansund			15.09.2018	15.09.2028	Plan AS	2		Aktiv	Kristiansund N	Vågeveien 10	02 - Midt-Norge	04 - Møre og Romsdal	Familievernkontor	421			Vågeveien 10, 6509 Kristiansund	Kristiansund N						421																								
2411 - Sunnmørsheimen avd Klatrevegen	Sunnmørsheimen avd Klatrevegen			02.01.2014	31.01.2024	Aen Eiendom AS	2		Aktiv	Volda	Klatrevegen 2	02 - Midt-Norge	04 - Møre og Romsdal	Formålsbygg	218	3	Akutt	Klatrevegen 2, 6104 Volda	Volda		21	145	1577	911859440	218					100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	1 stk garasje med plas til 2 biler	504000		30000														
2412 - Sunnmørsheimen avd Nygardsvegen	Sunnmørsheimen avd Nygardsvegen			01.01.2015	31.12.2024	Aen Eiendom AS	2		Aktiv	Volda	Nygardsvegen 2 og 4	02 - Midt-Norge	04 - Møre og Romsdal	Formålsbygg	668	3	Behandling lav	Nygardsvegen 2 og 4, 6103 Volda	Volda		20	79 og 315	1577	911859440	668					100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp	1 carport med plass til 2 biler	1740000		80000														
2413 - Kollen ungdomsbase, Vestnes	Kollen ungdomsbase, Vestnes			01.01.2013	31.12.2032	Statsbygg	1		Aktiv	Vestnes	Myrakollen	02 - Midt-Norge	04 - Møre og Romsdal	Formålsbygg	1471	8	Omsorg	Myrakollen, 6399 Vestnes	Vestnes		46 og 29	151 og 34	1535	971278374	1471					80% av KPI på leie - 100% av KPI på indre vedlikehold	JA, må vasle utleier om forlengelse min 6 mnd før utløp	parkering er inkludert i leien	1914241			220000	88260	60											
3501 - KASA Sandsli	F3 ungdom - Aurdalslia 96	2004/12010-14		01.01.2006	31.12.2025	Statsbygg	1		Aktiv	Sandsli	Aurdalslia 96	03 - Vest	05 - Vestland	Formålsbygg	391	4	Omsorg	Aurdalslia 96, 5253 Sandsli	Bergen		37	237	4601	971278374	391					80% av KPI på leie - 100% av KPI på indre vedlikehold	JA, må vasle utleier om forlengelse min 6 mnd før utløp		420000			44000	13965	35											
3502 - KASA Flatøy	F3 ungdom - Flatøyvegen 45			01.08.2006	31.07.2026	Statsbygg	1		Aktiv	Frekhaug	Flatøyvegen 45	03 - Vest	05 - Vestland	Formålsbygg	398	4	Omsorg	Flatøyvegen 45, 5918 Frekhaug	Alver		301	265	4631	971278374	398					80% av KPI på leie - 100% av KPI på indre vedlikehold	JA, må vasle utleier om forlengelse min 6 mnd før utløp		373000			35000	13930	35											
3503 - KASA Hop	F3 ungdom - Nybøvegen 24 - første+under - løpende avtale	2004/12010-1		17.12.2003		Aga, Kjell	2		Aktiv	Nesttun	Nybøvegen 24	03 - Vest	05 - Vestland	Formålsbygg	296	4	Omsorg	Nybøvegen 24, 5221 Nesttun	Bergen		41	632	4601	privat	296				privat						234000														
3503 - KASA Hop	F3 ungdom - Nybøvegen 24 - tomt - løpende avtale	2004/12010-1		01.01.2004		Aga, Kjell	2		Aktiv	Nesttun	Nybøvegen 24	03 - Vest	05 - Vestland	Formålsbygg	0	0		Nybøvegen 24, 5221 Nesttun	Bergen		41	632	4601	privat	se hovedkontrakt				privat						96000														
3503 - KASA Hop	F3 ungdom - Nybøvegen 24 - andre+loft - løpende avtale	2004/12010-55		01.08.2004		Aga, Kjell	2		Aktiv	Nesttun	Nybøvegen 24	03 - Vest	05 - Vestland	Formålsbygg	0	0		Nybøvegen 24, 5221 Nesttun	Bergen		41	632	4601	privat	se hovedkontrakt				privat	ikke oppgitt	Ikke oppgitt				5000														
3506 - KASA Morvik	F3 ungdom - Lokketomarka 24	2004/12010-41		01.01.2010	31.12.2029	Statsbygg	1		Aktiv	Mjølkeråen	Lokketomarka 24	03 - Vest	05 - Vestland	Formålsbygg	299	3	Omsorg	Lokketomarka 24, 5136 Mjølkeråen	Bergen		182	295	4601	971278374	299					80% av KPI på leie - 100% av KPI på indre vedlikehold	JA, må vasle utleier om forlengelse min 6 mnd før utløp		318000			30000	17940	60											
3507 - KASA Tertnes	F3 ungdom - Tertneshøyden 33b			01.09.2008	31.08.2028	Statsbygg	1		Aktiv	Tertnes	Tertneshøyden 33b	03 - Vest	05 - Vestland	Formålsbygg	357	3	Omsorg	Tertneshøyden 33b, 5113 Tertnes	Bergen		186	187	4601	971278374	357					80% av KPI på leie - 100% av KPI på indre vedlikehold	JA, må vasle utleier om forlengelse min 6 mnd før utløp	Garasje	292000			30000	21420	60											
3508 - Foreldre og barn Førde - Blåklokka	F2 foreldre/barn - Svanehaugvegen 3	2023/72735-4		01.01.2025	31.12.2027	Statsbygg	1		Aktiv	Førde	Svanehaugvegen 3	03 - Vest	05 - Vestland	Formålsbygg	456	0	BFS	Svanehaugveien 3, 6812 Førde	Sunnfjord		43	288	4647	971278374	456					80% av KPI på leie - 100% av KPI på indre vedlikehold	JA, må vasle utleier om forlengelse min 6 mnd før utløp		912000			45600	27360	60											
3509 - Familievern Sogndal	F2 familie - Parkvegen 5	2018/52407-21		01.09.2019	01.09.2029	Parkvegen 5 AS	2		Aktiv	Sogndal	Parkvegen 5	03 - Vest	05 - Vestland	Familievernkontor	282			Parkvegen 5, 6856 Sogndal	Sognadal		18	96	4640	821566452	282					100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp	ikke inkl	270000		260784														
3510 - Bergen akutt Nattland	F1 akutt - Nedre Nattland 69	2004/9792-9		01.10.2005	30.09.2025	Statsbygg	1		Aktiv	Bergen	Nedre Nattland 69	03 - Vest	05 - Vestland	Formålsbygg	844	6	Akutt	Nedre Nattland 69, 5099 Bergen	Bergen		10	725 og 4/47 av 759 (vei)	4601	971278374	844					80% av KPI på leie - 100% av KPI på indre vedlikehold	JA, må vasle utleier om forlengelse min 6 mnd før utløp		1660000			85000	29540	35											
3513 - Foreldre og barn Sudmannske	F2 foreldre/barn - Feråsvegen 13	2013/70408-1		01.01.2018	01.01.2028	Sudmannske Stiftelse	2		Aktiv	Søreidgrend	Feråsvegen 13	03 - Vest	05 - Vestland	Formålsbygg	1240	0	BFS	Fleråsvegen 13, 5251 Søreidgrend	Bergen		39	438	4601	840805492	1195					100% av KPI på leie	JA, må vasle utleier om forlengelse min 24 mnd før utløp	inkl alle parkeringsplasser på tomten	1195000																
3513 - Foreldre og barn Sudmannske	F2 foreldre/barn - Feråsvegen 13 - vedlikehold - løpende avtale	2005/2611-1		01.01.2004		Statsbygg	1		Aktiv	Søreidgrend	Feråsvegen 13	03 - Vest	05 - Vestland	Formålsbygg	0	0	BFS	Fleråsvegen 13, 5251 Søreidgrend	Bergen		39	438	4601	971278374	ikke relevant					100% av KPI på leie						112000	186000											45500	
3515 - Sogndal ungdomssenter - Rødstokken	F3 ungdom - Rødstokken 16			01.01.2024	31.12.2033	Statsbygg	1		Aktiv	Sogndal	Rødstokken 16	03 - Vest	05 - Vestland	Formålsbygg	593	4	Omsorg	Rødstokken 16, 6856 Sogndal	Sogndal		64 m.f	222 m.f	4640	971278374	593				1963	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		510000			279300	47440	80											
3518 - Sogn og Fjordane ungdomssenter Bregnetunet	F4 ungdom - Bregnetunet 15	2023/72743-8		01.01.2024	31.12.2033	Statsbygg	1		Aktiv	Førde	Bregnetunet 15	03 - Vest	05 - Vestland	Formålsbygg	873	4	Behandling høy	Bregnetunet 15, 6812 Førde	Sunnfjord		43	314	4647	971278374	873				3217	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		1111000			664100	69840	80											
3520 - Skjoldvegen Søfteland - Jentehaugen	F3 barn - Haugane 15	2005/3593-21		31.05.2025	31.12.2030	Statsbygg	1		Aktiv	Søfteland	Haugane 15	03 - Vest	05 - Vestland	Formålsbygg	296	4	Omsorg	Haugane 15, 5212 Syfteland	Bjørnafjorden		8	491	4624	971278374	296					80% av KPI på leie - 100% av KPI på indre vedlikehold	JA, må vasle utleier om forlengelse min 6 mnd før utløp		320000			30000	6370	35											
3522 - Sogn og Fjordane ungdomssenter Meltunet - før brann	F3 ungdom - Sjukehusvegen 5	2023/72753-9		01.01.2024	31.12.2027	Statsbygg	1		Aktiv	Nordfjordeid	Sjukehusvegen 5	03 - Vest	05 - Vestland	Formålsbygg	1213	4	Omsorg	Sjukehusvegen 5, 6770 Nordfordeid	Stad		43	92	4649	971278374	1083			- 441 kvm fra 01.01.2023	12751	80% av KPI på leie - 100% av KPI på indre vedlikehold	JA, må vasle utleier om forlengelse min 6 mnd før utløp		624950					60402007											
3522 - Sogn og Fjordane ungdomssenter Meltunet - før brann	F3 ungdom - Sjukehusvegen 5 - tillegg (brann)	2023/72753-10		01.01.2024	31.12.2027	Statsbygg	1		Aktiv	Nordfjordeid	Sjukehusvegen 5	03 - Vest	05 - Vestland	Kontor	0			Sjukehusvegen 5, 6770 Nordfordeid	Stad						se hovedkontrakt					se hovedkontrakt m/vedlegg																			
3522 - Sogn og Fjordane ungdomssenter Meltunet - før brann	F3 ungdom - Sjukehusvegen 5 - tillegg (kontor)	2005/4742-13		15.11.2006	31.12.2027	Statsbygg	1		Aktiv	Nordfjordeid	Sjukehusvegen 5	03 - Vest	05 - Vestland	Kontor	0			Sjukehusvegen 5, 6770 Nordfordeid	Stad						se hovedkontrakt					se hovedkontrakt m/vedlegg																			
3523 - Sogn og Fjordane ungdomssenter Meltunet - midlertidig	F3 ungdom - Sophus Lie-vegen 5 - erstatningsbygg - løpende avtale	2023/65588-10		01.04.2023		Opplysningsvesenets fond	2		Aktiv	Nordfjordeid	Sophus Lie-vegen 5	03 - Vest	05 - Vestland	Formålsbygg	0	0		Sophus Lie-vegen 5, 6770 Nordfjordeid	Stad		43	1	4649	974760212						100% av KPI på leie			120000																
3524 - Skjoldvegen Fyllingsdalen	F3 barn - Vestlundveien 22a	2023/72740-6		01.01.2024	31.12.2033	Statsbygg	1		Aktiv	Fyllingsdalen	Vestlundveien 22a	03 - Vest	05 - Vestland	Formålsbygg	452	3	Omsorg	Vestlundveien 22a, 5145 Fyllingsdalan	Bergen		25	424	4601	971278374	452				1040	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		513000			187100	36240	80											
3525 - Sogn og Fjordane ungdomssenter Meltunet - nytt bygg	F3 ungdom - Sophus Lie-vegen 9 - nytt bygg				31.08.2056	Statsbygg	1		Aktiv	Nordfjordeid	Sophus Lie-vegen 9	03 - Vest	05 - Vestland	Formålsbygg	0	0		Sophus Lie-vegen 9, 6770 Nordfjordeid	Stad		43	127	4649	971278374	1477					100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		3519000			279000	161000												
3530 - Familievern Odda	F2 familie - Røldalsvegen 2 - løpende avtale	2013/72213-6		01.01.2016		Almerket AS	2		Aktiv	Odda	Røldalsvegen 2	03 - Vest	05 - Vestland	Familievernkontor	167			Røldalsvegen 2, 5750 Odda	Ullensvang				4618	920500633	167					100% av KPI på leie			209381																
3531 - Familievern Stord	F2 familie - Torget 10	2013/72108-10		01.05.2014	30.04.2026	Torget 10 AS	2		Aktiv	Stord	Torget 10	03 - Vest	05 - Vestland	Familievernkontor	231			Torget 10, 5417 Stord	Stord		27	16	4614	990282269	231		#ERROR!	- 259 fra 01.05.2019																					* Felleskost betales i tillegg til leie, felleskost ikke presisert.
3533 - Bufetathus Førde	Bufetat - Storehagen 1b	2006/31334-42		01.08.2010	01.08.2030	Futurum AS	2		Aktiv	Førde	Storehagen 1b	03 - Vest	05 - Vestland	Kontor	976			Storehagen 1B, 6800 Førde	Sunnfjord		21	133	4647	985845328	976	628					JA, må vasle utleier om forlengelse min 24 mnd før utløp		1354688																* felleskostader skal betales, men er ikke presisert nærmere i kontrakt.
3534 - Bufetathus Bergen Skipsbyggerhallen	Bufetat - Solheimsgaten 11	2021/57953-1		28.12.2020	28.12.2030	Skipsbyggerhallen AS	2		Aktiv	Bergen	Solheimsgaten 11	03 - Vest	05 - Vestland	Kontor	3549			Solheimsgaten 11, 5058 Bergen	Bergen		158	841	4601	991710191	3424	2639				100% av KPI på leie	JA, må vasle utleier om forlengelse min 18 mnd før utløp	ikke inkl i hovedavtale	7567050		1677800							719040							* Felleskost ikke beløpsfestet i hovedkontrakt - Bilag 4A gir 993000 i seviceavtale + 684800 (energi)
3535 - Bufetathus Bergen Motorhallen	F2 familie - Solheimsgaten 13	2021/57954-1		30.04.2021	31.12.2030	Motorhallen AS	2		Aktiv	Bergen	Solheimsgaten 13	03 - Vest	05 - Vestland	Familievernkontor	1119			Solheimsgaten 13, 5058 Bergen	Bergen		158	840	4601	891710062	766	590							1676700		356820														* Felleskost ikke beløpsfestet i hovedkontrakt - Bilag 4A gir 206820 i seviceavtale + 150000 i energi
3535 - Bufetathus Bergen Motorhallen	F4 adferd - Solheimsgaten 13 (TFCO)	2021/57954-1		01.02.2022	31.12.2030	Motorhallen AS	2		Aktiv	Bergen	Solheimsgaten 13	03 - Vest	05 - Vestland	Kontor	1194			Solheimsgaten 13, 5058 Bergen	Bergen		158	840	4601	891710062	353	270					JA, må vasle utleier om forlengelse min 18 mnd før utløp	Ikke inkl i hovedavtale	793463		165310							74130							* Felleskost ikke beløpsfestet i hovedkontrakt - Bilag 4A gir 95310 i seviceavtale + 70000 i energi
3536 - Bergen akutt Toppe	F1 akutt - Skinflorbakkane 12	2016/51823-51		01.06.2020	31.05.2040	Statsbygg	1		Aktiv	Mjølkeråen	Skinflorbakkane 12	03 - Vest	05 - Vestland	Formålsbygg	988	5	Akutt	Skinflorbakkane 12, 5136 Mjølkeråen	Bergen		183	310	4601	971278374	988					100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		2703000			220000	49415	50											
3537 - Skjoldvegen Skjold	F3 barn - Skjoldvegen 51	2023/72739-7		01.01.2024	31.12.2033	Statsbygg	1		Aktiv	Nesttun	Skjoldvegen 51	03 - Vest	05 - Vestland	Formålsbygg	839	6	Omsorg	Skjoldvegen 51, 5221 Nesttun	Bergen		40	32, 49, 69 og 113	4601	971278374	839				6911	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		1047000			178500	67120	80											
3538 - Bjørgvin ungdomssenter Bønesstølen	F4 ungdom - Bønesstølen 13	2023/72758-4		01.01.2024	31.12.2033	Statsbygg	1		Aktiv	Bønes	Bønesstølen 13	03 - Vest	05 - Vestland	Formålsbygg	1007	4	Rus	Bønesstølen 13, 5152 Bønes	Bergen		20	823	4601	971278374	1007				4317	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		1205000			269000	80560	80											
3539 - Bjørgvin ungdomssenter Bønesskogen	F4 ungdom - Bønesskogen 333	2023/72757-11		01.01.2024	31.12.2033	Statsbygg	1		Aktiv	Bønes	Bønesskogen 333	03 - Vest	05 - Vestland	Formålsbygg	653	4	Rus	Bønesskogen 333, 5152 Bønes	Bergen		20	1219	4601	971278374	653				2144	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		781000			101100	52240	80											
3540 - Familievern Voss	F2 familie - Uttrågata 36	2023/78879-1		01.09.2023	31.08.2028	Aas Eigedom AS	2		Aktiv	Voss	Uttrågata 36	03 - Vest	05 - Vestland	Familievernkontor	60			Uttrågata 36, 5700 Voss	Voss Herad				4621	965212841	60	30							148296																
3550 - Driftsavdeling region vest	Drift - Nedre Nøttveit 58 - løpende avtale			01.01.2015		Nedre Nøttveit Eiendom AS	2		Aktiv	Rådal	Nedre Nøttveit 58	03 - Vest	05 - Vestland	Kontor		0		Nedre Nøttveit 58, 5238 Rådal	Bergen				4601	988130664	634					100% av KPI på leie		parkering er inkludert i leien	572220																
3560 - Eikelund ungdomssenter	F4 ungdom - Sandbrekkevegen 27 - alle bygg			01.04.2025	31.12.2027	Statsbygg	1		Aktiv	Paradis	Sandbrekkevegen 27	03 - Vest	05 - Vestland	Formålsbygg	3647	0		Sandbrekkevegen 27, 5231 Paradis	Bergen		9	3	4003	830463992	1281	1114				100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp		16596006600		252000														* Det ønskes pristilbud på p-plasser
3560 - Eikelund ungdomssenter	F3 ungdom - Sandbrekkevegen 27 - bygg F			14.08.2024	31.12.2027	Statsbygg	1		Aktiv	Paradis	Sandbrekkevegen 27	03 - Vest	05 - Vestland	Formålsbygg	350	3	Behandling høy	Sandbrekkevegen 27, 5231 Paradis	Bergen		9	3	4601	971278374	3646				46335	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		3423166			907317	221152												
3601 - Foreldre og barn Stavanger	F2 foreldre/barn - Torleiv Kvalviks gate 9	2023/72737-2		01.01.2025	31.12.2027	Statsbygg	1		Aktiv	Stavanger	Torleiv Kvalviks gate 9	03 - Vest	06 - Rogaland	Formålsbygg	635	0	BFS	Torleiv Kvalviks gate 9 og Sandalssvingen 14B, 4022 Stavanger	Stavanger		38	3256 og 2638	1103	971278374	635					80% av KPI på leie - 100% av KPI på indre vedlikehold	JA, må vasle utleier om forlengelse min 6 mnd før utløp		504000			78350	38100	60											
3602 - Stavanger ungdomssenter Våland - Villa rød	F3 ungdom - Rogalandsgata 18	2023/72751-3		01.01.2024	31.12.2033	Statsbygg	1		Aktiv	Stavanger	Rogalandsgata 18	03 - Vest	06 - Rogaland	Formålsbygg	516	4	Omsorg	Rogalandsgata 18, 4011 Stavanger	Stavanger		560	1558	1103	971278374	515				1245	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		730000			145600	41280	80											
3603 - Stavanger akutt Madla	F1 akutt - Kompani Linges vei 23	2023/72720-14		01.01.2024	31.12.2033	Statsbygg	1		Aktiv	Hafrsfjord	Kompani Lingesvei 23	03 - Vest	06 - Rogaland	Formålsbygg	1791	6	Akutt	Kompani Linges vei 23 og 25, 4045 Hafrsfjord	Stavanger		38	475 og 826	1103	971278374	1790				5545	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		1545001			640900	143128	80											
3605 - Stavanger akutt Røyneberg	F1 akutt - Marknesringen 48	2005/2605-6		31.10.2024	31.10.2029	Statsbygg	1		Aktiv	Røyneberg	Marknesringen 48	03 - Vest	06 - Rogaland	Formålsbygg	538	4	Akutt	Marknesringen 48 og 50, 4052 Røyneberg	Sola		37	198 og 528	1124	971278374	538				1087	80% av KPI på leie - 100% av KPI på indre vedlikehold	JA, må vasle utleier om forlengelse min 6 mnd før utløp		578000			77000	21520	40											
3606 - Stavanger ungdomssenter Lindøy	F3 ungdom - Lindøy 9 - løpende avtale	2023/72745-5		01.01.2004		Stavanger kommune	2		Aktiv	Stavanger	Lindøy 9 - ikke oppmålt	03 - Vest	06 - Rogaland	Formålsbygg	1500	4	Omsorg	Lindøy, 4075 Stavanger	Stavanger		9	1	1103	971278374	ikke relevant					100% av KPI på leie						234000	374000											45500	
3606 - Stavanger ungdomssenter Lindøy	F3 ungdom - Lindøy 9 - vedlikehold - løpende avtale	2005/4982-1		01.01.2004		Statsbygg	1		Aktiv	Stavanger	Lindøy 9 - ikke oppmålt	03 - Vest	06 - Rogaland	Formålsbygg	0	0		Lindøy, 4075 Stavanger	Stavanger		9	1	1103	964965226	se hovedkontrakt																								
3608 - Bufetathus Stavanger	Bufetat - Lagårdsveien 44	2009/56652-15		01.12.2010	01.12.2025	Lagårdsveien 44 AS	2		Aktiv	Stavanger	Lagårdsveien 44	03 - Vest	06 - Rogaland	Kontor	2437			Lagårdsveien 40, 4010 Stavanger	Stavanger		56	130	1103	989638645	2270	1974				100% av KPI på leie	JA, gitt visse vilkår	ikke inkl i hovedavtale	4301650		623000														* Vedlegg til kontrakt ligger ikke ved.
3608 - Bufetathus Stavanger	Bufetat - Lagårdsveien 44 - lager			01.01.2011	01.12.2025	Lagårdsveien 44 AS	2		Aktiv	Stavanger	Lagårdsveien 44	03 - Vest	06 - Rogaland	Kontor	0			Lagårdsveien 40, 4010 Stavanger	Stavanger		56	130	1103	989638645	17	15				100% av KPI på leie	JA, gitt visse vilkår		12500																* Se hovedavtale.
3608 - Bufetathus Stavanger	Bufetat - Lagårdsveien 44 - parkeringsplasser - løpende avtale	2009/56652-16 og 2009/56652-65		01.01.2024		AIMO PARK NORWAY AS	2		Aktiv	Stavanger	Lagårdsveien 44	03 - Vest	06 - Rogaland	Kontor	0			Lagårdsveien 40, 4010 Stavanger	Stavanger		56	130	1103	989638645	parkering					100% av KPI på leie	JA, gitt visse vilkår	avt. Parkering	24000180000																* Se hovedavtale.
3609 - Bufetathus Haugesund	Bufetat - Haraldsgata 94	2023/72672-4		01.01.2014	15.02.2026	Dorado AS	2		Aktiv	Haugesund	Haraldsgata 94	03 - Vest	06 - Rogaland	Kontor	1407			Haraldsgata 94, 5528 Haugesund	Haugesund		40	271	1106	981350014	1407	1203		- Areal til kantine frafaller i 2019		100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	6 p-plasser			300750														
3614 - Sandnes ungdomssenter - Minde 1 + Minde 2	F3 ungdom - Mindeveien 8+8a			01.01.2010	31.12.2029	Statsbygg	1		Aktiv	Sandnes	Mindeveien 8	03 - Vest	06 - Rogaland	Formålsbygg	1854	8	Omsorg	Mindeveien 8, 4327 Sandnes m.f	Sandnes		38 m.f	1862 m.f	1108	971278374	1854					80% av KPI på leie - 100% av KPI på indre vedlikehold			2328000			240000	112240	60											
