Lokalisering	Avtalenavn	Elements	Tilstandsgrad	Startdato	Sluttdato	Utleier	Utleier kategori	Hjemmelshaver	Status	Poststed	Adresselinje 1	Lok: Distrikt	Lok: Område	Type lokasjon	Areal	Antall godkjente plasser	Målgruppe	Adresse og Postnummer	kommunenavn	Fylke	Matrikkel Gnr	Matrikkel Bnr	Matrikkel Knr	org nr utleier	Areal inkl fellesareal i leiekontrakt (kvm)	Eksklusivt areal i leiekontrakt (kvm)	Tillegsareal iht addendum (kvm)	Reduksjon iht addendum (kvm)	tomteareal	leieregulering	Forlengelse og vilkår	p-plasser	Kontraktsleie ved oppstart (per år)	Kontraktsleie økning/reduksjon	Felleskostnader per år (ved kontraktsinngåelse)	Brukeravhengige driftskostander - Første driftsår	Kostnad til indre vedlikehold per år	Indre vedlikehold pr/kvm	Kostnader: kommunale gebyrer og renovasjon	Kostnad kortleser	Parkeringsleie kr per år	Merverdikompensasjon per år	Vaktmestertjenester kr per år	Energi til leieobjektet kr per år	Oppvarming pr år	Renhold pr år	Kontantinnskudd kr	Betaling administrativt arbeid Statsbygg	kommentar
5106 - Vangsvegen 121, 2318 Hamar	Familievernkontoret Innlandet Øst, avdeling Hamar			15.11.2021	15.11.2031	Vangsvegen 119 AS	2		Aktiv	Hamar	Vangsvegen 121	05 - Øst	10 - Innlandet	Familievernkontor	805			Vangsvegen 121, 2318 Hamar	Hamar		1	1366	3403	923479899	671					100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	ikke inkl	922625		181172					16776									
5107 - Aumliveien 4C, 2500 Tynset	Familievernkontoret Innlandet Øst, avdeling Tynset			01.01.2021	31.12.2030	Siva FE Kompetansesenteret AS - Siva FE Kompetansesenteret AS	2		Aktiv	Tynset	Aumliveien 4C	05 - Øst	10 - Innlandet	Familievernkontor	203			Aumliveien 4C, 2500 Tynset	Tynset		44	551	3427	922082855	203	156				100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp	Ikke faste plasser, men fri tilgang til eiendommens p-plasser	221879		103124														
5108 - Kabelgata 2, 0508 Oslo	Familievernkontoret Oslo Nord			03.01.2019	28.02.2034	Østre Aker vei 31 AS	2		Aktiv	Oslo	Kabelgata 2	05 - Øst	11 - Oslo og Viken	Familievernkontor	711			Kabelgata 2, 0581 Oslo	Oslo		122	2	301	985986789	711	554				100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp	ikke inkl	1532205		249000							105939							
5109 - Oscarsgate 20, 0301 Oslo	Familievernskontoret Homansbyen			07.01.2010	31.12.2026	Oscars gata 20 AS	2		Aktiv	Oslo	Oscarsgate 20	05 - Øst	11 - Oslo og Viken	Familievernkontor	1050			Oscars gate 20, 0352 Oslo	Oslo		214	229	301	990329680	858		#ERROR!			100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp				2574000							145860							
5110 - Klukevegen 30, 2318 Hamar	Hedmark ungdoms- og familiesenter, Vien 1 og 2			01.01.2024	31.12.2028	Statsbygg	1		Aktiv	Hamar	Klukevegen 30	05 - Øst	10 - Innlandet	Formålsbygg	1185	6	Akutt	Klukevegen 30, 2318 Hamar	Hamar		4	4	3403	971278374	1185				9256	80% av KPI på leie - 100% av KPI på indre vedlikehold	JA, må vasle utleier om forlengelse min 12 mnd før utløp		1119421			68700	68700	60											
5111 - Dr. Thorshaugsveg 8, 2335 Stange	Hedmark ungdoms- og familiesenter, avdeling Stange			01.01.2024	31.12.2033	Statsbygg	1		Aktiv	Stange	Dr. Thorshaugsveg 8	05 - Øst	10 - Innlandet	Formålsbygg	1269	5	Akutt	Dr. Thorshaugs veg 8, 2335 Stange	Stange		93	207	3413	971278374	1232				5655	80% av KPI på leie - 100% av KPI på indre vedlikehold	JA, må vasle utleier om forlengelse min 6 mnd før utløp		1098525			123200	73920	60											
5115 - Jong Ungdomshjem , hybel	Jong Ungdomshjem, hybel i Horniveien			09.01.2019	01.09.2099	Vilming	2		Aktiv	Vøyenenga	Horniveien 100	05 - Øst	11 - Oslo og Viken	Formålsbygg	15	0		Horniveien 100, 1339 Vøyenenga	Bærum		64	135	3201	privat	ikke oppgitt								99600																
5116 - Emma Hjortsvei 60, 1336 Sandvika	Jong Ungdomssenter, avdeling Åsen			01.01.2024	31.12.2033	Statsbygg	1		Aktiv	Sandvika	Emma Hjortsvei 60	05 - Øst	11 - Oslo og Viken	Formålsbygg	617	5	Rus	Emma Hjorts vei 60, 1336 Sandvika	Bærum		47	384	3201	971278374	617				6514	100% av KPI på leie	JA, må vasle utleier om forlengelse min 12 mnd før utløp		715000			392000	49376	80											
5117 - Tokerudkollen 31/33, 1336 Sandvika	Jong Ungdomssenter, avdeling Kollen			01.06.2024	31.05.2034	Bærum Kommune	2		Aktiv	Sandvika	Tokerudkollen 31-33	05 - Øst	11 - Oslo og Viken	Formålsbygg	1305	5	Rus	Tokerudkollen 31-33, 3316 Sandvika	Bærum		47	4	3201	971198559	1167					100% av KPI på leie	JA, må vasle utleier om forlengelse min 6 mnd før utløp	Leieobjektet inkluderer de parkeringsplasser som tilhører eiendommen	1434261		291750														
5117 - Øverbyvegen 88 -104, 2825 Gjøvik	Innlandet barnevernsenter			01.01.2009	31.12.2029	Statsbygg	1		Aktiv	Gjøvik	Øverbyveien 104	05 - Øst	10 - Innlandet	Formålsbygg	3780	20	Akutt, omsorg og behandling lav	Øverbyvegen 88 til 107, 2819 Gjøvik*	Gjøvik		73	32	3407	971278374	3778					80% av KPI på leie - 100% av KPI på indre vedlikehold	JA, må vasle utleier om forlengelse min 6 mnd før utløp																		* Feilmelding v/nedlasting av kontrakt uten sladding.
